,prize,Category,terminal,type,degree
MUC5AC,0.0,,False,protein,2
PCGF6,0.0,,False,protein,32
M1AP,0.0,,False,protein,2
PARD6A,0.0,,False,protein,44
NIN,0.0,,False,protein,12
ANAPC1,0.0,,False,protein,32
DUSP22,0.0,,False,protein,6
STAMBP,0.0,,False,protein,50
KDM5B,0.0,,False,protein,63
DCBLD2,0.0,,False,protein,5
ZUFSP,0.0,,False,protein,4
SH3GL3,0.0,,False,protein,48
GLYR1,0.0,,False,protein,16
PLAUR,0.0,,False,protein,37
SNRPD1,0.0,,False,protein,103
TXLNA,0.0,,False,protein,67
POLE2,0.0,,False,protein,17
ST3GAL1,0.0,,False,protein,1
HSD17B14,0.0,,False,protein,15
KIF5A,0.0,,False,protein,27
MTIF2,0.0,,False,protein,5
ITGB4,0.0,,False,protein,37
RGS19,0.0,,False,protein,17
LSM12,0.0,,False,protein,16
ATN1,0.0,,False,protein,103
BAG4,0.0,,False,protein,65
BCS1L,0.0,,False,protein,7
SYNC,0.0,,False,protein,2
TNFSF13,0.0,,False,protein,13
NUDT14,0.0,,False,protein,9
USP30,0.0,,False,protein,7
CAMK2G,0.0,,False,protein,41
PECR,0.0,,False,protein,2
TMEM225,0.0,,False,protein,1
PGBD1,0.0,,False,protein,8
GMCL1,0.0,,False,protein,61
PKD2,0.0,,False,protein,21
LSM4,0.0,,False,protein,45
RAD21,0.0,,False,protein,223
CCDC158,0.0,,False,protein,10
OPLAH,0.0,,False,protein,2
KIAA1958,0.0,,False,protein,11
CD3D,0.0,,False,protein,12
WBP11,0.0,,False,protein,37
PARP1,0.0,,False,protein,221
NANS,0.0,,False,protein,41
TMEM203,0.0,,False,protein,1
ZBTB7B,0.0,,False,protein,31
NAA38,0.0,,False,protein,5
FAM104A,0.0,,False,protein,1
PPP1R7,0.0,,False,protein,20
ZNF114,0.0,,False,protein,3
DHX33,0.0,,False,protein,8
PLA2G4A,0.0,,False,protein,25
SLITRK6,0.0,,False,protein,1
RAB30,0.0,,False,protein,2
SDHC,0.0,,False,protein,3
FABP4,0.0,,False,protein,15
SCP2,0.0,,False,protein,34
HOXA7,0.0,,False,protein,5
NR3C2,0.0,,False,protein,28
PLCL2,0.0,,False,protein,3
RPS11,0.0,,False,protein,129
SCGB3A2,0.0,,False,protein,1
CSPP1,0.0,,False,protein,5
MDM4,0.0,,False,protein,58
CDC25C,0.0,,False,protein,33
GOLGA5,0.0,,False,protein,5
ELN,0.0,,False,protein,25
PRAME,0.0,,False,protein,36
NDNL2,0.0,,False,protein,8
NOL10,0.0,,False,protein,3
KRT33B,0.0,,False,protein,16
GEMIN8,0.0,,False,protein,4
HIST1H1A,0.0,,False,protein,71
NELFCD,0.0,,False,protein,39
RNF187,0.0,,False,protein,6
SPINT2,0.0,,False,protein,7
EIF3J,0.0,,False,protein,30
CDAN1,0.0,,False,protein,10
FUT1,0.0,,False,protein,1
CPSF4,0.0,,False,protein,13
MMAB,0.0,,False,protein,4
ANG,0.0,,False,protein,11
ATAD3B,0.0,,False,protein,22
CPB2,0.0,,False,protein,7
DMP1,0.0,,False,protein,3
OBSL1,0.0,,False,protein,582
CAPN1,0.0,,False,protein,90
